num_prompts,input_len,output_len,returncode,avg_power_watts,duration_s,energy_per_token_j,request_throughput,output_token_throughput,total_token_throughput,mean_ttft_ms,mean_tpot_ms
1,128,128,0,113.8865,8.793205976486206,7.823651972196065,0.26,32.74,65.48,52.12,30.37
1,128,256,0,182.85706896551721,12.678098678588867,9.055781111024833,0.13,32.86,49.29,37.54,30.4
1,512,128,0,154.3485,8.702656745910645,10.494078240204603,0.25,32.35,161.75,93.21,30.42
1,512,256,0,187.66327586206896,12.679055452346802,9.294504222750888,0.13,32.8,98.41,38.79,30.45
1,1024,128,0,157.87073170731708,8.911766767501831,10.991462034300515,0.25,32.1,288.88,110.57,30.53
1,1024,256,0,190.5255172413793,12.674421072006226,9.432814962808685,0.13,32.68,163.39,41.04,30.56
10,128,128,0,165.91238095238094,9.123108863830566,1.1825286822546095,2.29,293.05,586.1,332.29,31.75
10,128,256,0,198.68966666666665,13.1062912940979,1.0172205658049012,1.23,313.72,470.58,87.68,31.64
10,512,128,0,173.03555555555553,9.774450302124023,1.3213495611548423,2.0,256.05,1280.26,592.74,34.49
10,512,256,0,203.33639344262295,13.323952198028564,1.0582985884175926,1.19,305.23,915.7,97.1,32.49
10,1024,128,0,180.26166666666666,10.411892175674438,1.466300809953672,1.88,240.52,2164.7,711.41,35.95
10,1024,256,0,203.6808064516129,13.543024778366089,1.0775211752546021,1.15,294.25,1471.27,108.88,33.67
50,128,128,0,191.16979166666667,10.390504360198975,0.3103672740391921,8.84,1131.37,2262.75,720.5,38.52
50,128,256,0,221.25484848484848,14.350083589553833,0.2480488726837222,5.26,1347.23,2020.85,291.52,35.99
50,512,128,0,217.19555555555556,13.64398741722107,0.4630333479806781,5.77,738.67,3693.35,1890.56,52.1
50,512,256,0,237.99311111111112,19.65273880958557,0.3654075352458863,3.36,860.9,2582.69,308.19,41.71
50,1024,128,0,254.7100847457627,25.618003845214844,1.019556864129992,2.41,308.57,2777.15,7626.83,70.99
50,1024,256,0,267.1877575757576,36.02880811691284,0.7520669100691559,1.6,410.56,2052.78,9679.63,56.88
100,128,128,0,214.02627118644065,12.720977783203125,0.21270495631129052,12.72,1628.49,3256.98,1220.17,51.67
100,128,256,0,241.94228260869565,19.938693046569824,0.18843800421567308,6.66,1705.71,2558.57,600.22,46.46
100,512,128,0,255.9311382113821,26.651447534561157,0.5328855705079039,4.59,587.82,2939.12,7859.34,74.4
100,512,256,0,270.68614942528734,37.829978704452515,0.40000200266987773,3.04,777.49,2332.46,10011.49,60.83
100,1024,128,0,274.70442396313365,47.16669845581055,1.0122578694958018,2.37,303.78,2734.0,17321.57,79.55
100,1024,256,0,282.37209523809526,68.81537175178528,0.7590445588335955,1.57,403.16,2015.81,24769.88,60.42
